open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1625097600000,35031.39,35044.98,34900.00,34947.06,3383.410,1625097899999,118284997.77132,24232,1443.766,50478102.93972,0
1625097900000,34947.05,34948.92,34811.89,34825.19,2840.675,1625098199999,99119749.33393,20543,1231.656,42984462.00673,0
1625098200000,34825.19,34883.54,34759.23,34831.34,2891.770,1625098499999,100719147.63751,21235,1426.408,49689790.58877,0
1625098500000,34831.35,34882.82,34711.67,34817.18,2284.053,1625098799999,79469321.64186,18891,1152.915,40119009.54084,0
1625098800000,34817.33,34875.68,34760.37,34804.34,1965.717,1625099099999,68475778.80167,15357,986.937,34384692.68443,0
1625099100000,34804.98,34809.75,34700.00,34794.10,2559.972,1625099399999,89001174.86372,16418,928.700,32293041.65973,0
1625099400000,34792.90,34836.36,34761.40,34829.75,1603.129,1625099699999,55793909.28398,10384,905.520,31516292.15494,0
1625099700000,34829.76,34833.49,34771.60,34800.35,1368.913,1625099999999,47638211.62065,9106,731.377,25452490.39255,0
1625100000000,34800.45,34820.00,34728.47,34759.99,1226.514,1625100299999,42651367.79803,9729,554.740,19291657.93565,0
1625100300000,34760.00,34830.85,34756.10,34816.10,819.526,1625100599999,28522903.26904,7144,458.666,15963489.00313,0
1625100600000,34816.11,34849.93,34780.34,34796.95,1146.312,1625100899999,39908806.78969,8934,519.374,18082306.73595,0
1625100900000,34795.99,34828.66,34712.23,34718.44,1736.707,1625101199999,60373182.67407,11871,684.621,23800140.43496,0
1625101200000,34718.43,34787.07,34710.00,34761.01,1403.875,1625101499999,48781851.24769,10745,629.293,21866511.25856,0
1625101500000,34761.01,34815.00,34758.00,34787.01,917.615,1625101799999,31931663.23090,8381,490.507,17068918.52170,0
1625101800000,34787.01,34819.41,34740.46,34803.54,1264.339,1625102099999,43987948.42910,9522,641.088,22305573.04793,0
1625102100000,34803.54,34877.00,34773.59,34847.36,956.942,1625102399999,33325108.64704,9717,571.680,19909861.56176,0
1625102400000,34847.36,34911.18,34839.93,34911.18,1684.429,1625102699999,58744451.27805,12799,967.866,33754461.08860,0
