open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1706745600000,0.078700,0.078940,0.078690,0.078840,8468515,1706745899999,667557.997630,1810,5155525,406388.866950,0
1706745900000,0.078840,0.078930,0.078780,0.078930,3503408,1706746199999,276251.829390,924,2062591,162634.549400,0
1706746200000,0.078920,0.079040,0.078900,0.079000,6641245,1706746499999,524456.835400,1278,4035774,318683.833850,0
1706746500000,0.079010,0.079070,0.078930,0.079030,3821318,1706746799999,301927.424630,1015,2110548,166764.480800,0
1706746800000,0.079020,0.079120,0.078920,0.079000,12080010,1706747099999,954573.361210,2521,6150565,486048.847260,0
1706747100000,0.079000,0.079050,0.078940,0.078980,3862879,1706747399999,305148.132580,850,1824024,144083.016870,0
1706747400000,0.078990,0.079050,0.078930,0.078990,4116725,1706747699999,325114.214330,863,1857899,146732.955850,0
1706747700000,0.078990,0.078990,0.078800,0.078800,4857326,1706747999999,383131.692410,1123,2440442,192501.482980,0
1706748000000,0.078800,0.078880,0.078690,0.078860,8207688,1706748299999,646654.188310,1448,4042982,318524.783500,0
1706748300000,0.078870,0.079030,0.078870,0.078930,5080859,1706748599999,401209.598890,1082,3158355,249386.752390,0
1706748600000,0.078930,0.079090,0.078930,0.078970,3891848,1706748899999,307457.149620,928,2077410,164106.138310,0
1706748900000,0.078980,0.079070,0.078980,0.079000,2915425,1706749199999,230414.373240,608,1771750,140018.000820,0
1706749200000,0.079000,0.079010,0.078850,0.078850,3274438,1706749499999,258471.764160,1101,1571476,124042.659330,0
1706749500000,0.078840,0.078840,0.078590,0.078750,7645049,1706749799999,601690.949070,1779,3024193,238022.289470,0
1706749800000,0.078740,0.078760,0.078410,0.078470,13405386,1706750099999,1052434.906500,2555,3557234,279341.740600,0
1706750100000,0.078470,0.078480,0.078030,0.078120,32935880,1706750399999,2576112.620700,6026,16048719,1255283.852080,0
1706750400000,0.078120,0.078120,0.077200,0.077880,156894715,1706750699999,12179765.458720,23548,62622903,4861972.860120,0
1706750700000,0.077870,0.078090,0.077760,0.077990,23887457,1706750999999,1861565.424970,6917,14519877,1131627.658330,0
1706751000000,0.078000,0.078200,0.077860,0.078000,19197338,1706751299999,1498066.402280,4036,9013878,703463.423760,0
1706751300000,0.078000,0.078020,0.077730,0.077850,13224045,1706751599999,1029589.248880,2538,5490368,427524.980510,0
1706751600000,0.077850,0.078260,0.077760,0.078170,22943812,1706751899999,1789544.545790,3814,13364745,1042872.846680,0
1706751900000,0.078180,0.078310,0.077950,0.077980,12722954,1706752199999,994410.826360,2700,5214497,407604.419540,0
1706752200000,0.077980,0.077990,0.077660,0.077840,20228300,1706752499999,1574293.135110,3785,8878744,690932.041080,0
