open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1588291200000,206.21,207.75,206.12,207.25,10408.657,1588291499999,2155433.12805,2735,5696.959,1180103.27317,0
1588291500000,207.30,208.11,207.14,207.98,9471.895,1588291799999,1967219.65966,2581,6269.163,1302347.03693,0
1588291800000,207.97,208.40,207.52,208.02,8377.610,1588292099999,1741730.76510,2215,3375.077,701894.92879,0
1588292100000,208.04,209.04,208.04,208.41,12079.583,1588292399999,2519532.61460,2754,6187.109,1290631.10853,0
1588292400000,208.47,208.90,207.55,208.86,8540.611,1588292699999,1777347.99452,2266,4373.900,910643.79203,0
1588292700000,208.86,209.24,208.24,208.77,8605.893,1588292999999,1796093.83825,2370,3509.781,733017.63832,0
1588293000000,208.78,209.22,208.39,208.88,5078.301,1588293299999,1059857.07637,1672,2044.945,426992.72530,0
1588293300000,208.89,209.07,208.38,208.57,3819.673,1588293599999,797194.32590,1348,2408.875,502854.36629,0
1588293600000,208.56,209.17,208.48,209.04,3743.742,1588293899999,782253.27132,1590,2045.773,427572.09237,0
1588293900000,209.05,209.72,208.35,209.48,6869.033,1588294199999,1434988.72881,2044,3274.360,684522.56619,0
1588294200000,209.44,209.75,209.03,209.58,2880.035,1588294499999,603188.61381,1133,1419.919,297444.95689,0
1588294500000,209.57,209.58,208.52,209.05,6068.831,1588294799999,1267790.98664,1551,2233.394,466545.01670,0
1588294800000,209.05,209.54,208.74,209.43,2622.250,1588295099999,548280.85095,989,1355.094,283478.56378,0
1588295100000,209.46,209.64,209.01,209.04,2640.583,1588295399999,552765.59716,758,499.118,104548.46592,0
1588295400000,209.02,209.18,208.63,209.12,2762.586,1588295699999,577200.19475,701,2117.683,442511.82481,0
1588295700000,209.18,209.90,209.10,209.45,5868.720,1588295999999,1230187.76655,1459,2570.396,538774.44679,0
1588296000000,209.45,209.79,208.99,209.17,3772.884,1588296299999,790408.63207,1243,1964.986,411750.56768,0
1588296300000,209.19,209.47,208.32,208.72,4072.571,1588296599999,850672.87756,1169,1569.659,327944.63899,0
1588296600000,208.72,208.84,208.34,208.48,3833.230,1588296899999,799604.86482,1330,1849.112,385757.58950,0
1588296900000,208.48,208.82,207.89,208.74,6503.323,1588297199999,1354734.22467,1947,3061.940,638171.88578,0
1588297200000,208.82,209.05,208.35,208.35,2778.891,1588297499999,580272.61207,866,1170.198,244400.26921,0
1588297500000,208.33,208.67,208.01,208.30,3962.595,1588297799999,825165.78816,1264,2388.235,497293.87698,0
1588297800000,208.29,208.70,208.02,208.38,2245.067,1588298099999,467738.15277,724,1300.616,271046.42139,0
1588298100000,208.38,208.58,208.01,208.17,2325.613,1588298399999,484459.24924,760,932.217,194226.62899,0
1588298400000,208.17,208.60,207.80,208.57,5757.957,1588298699999,1198789.55378,1463,3402.272,708575.62935,0
1588298700000,208.56,209.05,208.52,208.94,3805.421,1588298999999,794781.70509,1088,2134.536,445745.98320,0
1588299000000,208.94,209.00,208.32,208.49,2109.192,1588299299999,440099.34529,723,893.325,186407.00363,0
1588299300000,208.48,209.24,208.42,208.87,3686.317,1588299599999,770419.07850,900,2013.483,420796.04479,0
1588299600000,208.88,209.45,208.68,208.73,2886.811,1588299899999,603495.09649,861,1411.105,295012.52155,0
1588299900000,208.72,209.44,208.41,209.43,3757.053,1588300199999,784943.29646,1154,1988.914,415680.74093,0
1588300200000,209.42,209.80,209.16,209.54,3624.439,1588300499999,759294.50352,1300,1969.861,412748.91543,0
1588300500000,209.54,209.81,209.00,209.38,5366.891,1588300799999,1123399.45054,1013,3496.605,731818.75980,0
