open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1577836800000,129.12,129.12,128.76,128.81,2438.197,1577837099999,314366.25956,151,1127.136,145331.35134,0
1577837100000,128.78,128.94,128.65,128.87,2126.484,1577837399999,273896.54919,164,1377.615,177457.51055,0
1577837400000,128.90,128.92,128.77,128.87,888.920,1577837699999,114514.76300,95,487.341,62779.33521,0
1577837700000,128.88,128.99,128.77,128.82,1570.849,1577837999999,202443.94933,113,688.471,88730.59968,0
1577838000000,128.81,128.85,128.66,128.67,621.585,1577838299999,80035.75002,57,360.833,46459.03266,0
1577838300000,128.68,128.90,128.67,128.75,1686.204,1577838599999,217110.62271,160,966.030,124359.26988,0
1577838600000,128.74,128.98,128.74,128.89,800.661,1577838899999,103167.73168,74,432.650,55742.55402,0
1577838900000,128.89,128.92,128.82,128.82,991.152,1577839199999,127734.41725,87,308.397,39739.75106,0
1577839200000,128.83,128.90,128.75,128.82,932.536,1577839499999,120131.61281,74,577.224,74362.26141,0
1577839500000,128.83,128.83,128.69,128.74,539.131,1577839799999,69422.83132,70,269.312,34673.80420,0
1577839800000,128.73,128.77,128.66,128.68,1100.350,1577840099999,141631.72410,82,358.011,46080.41454,0
1577840100000,128.66,128.92,128.62,128.82,1251.622,1577840399999,161187.40807,122,754.605,97167.91142,0
1577840400000,128.81,129.08,128.76,129,2125.851,1577840699999,274063.48681,181,1266.362,163246.85233,0
1577840700000,129,129.09,128.88,129.01,1824.066,1577840999999,235282.77583,138,839.791,108319.93060,0
1577841000000,129,129.19,129,129.12,1041.616,1577841299999,134482.24483,97,575.229,74253.85743,0
1577841300000,129.09,129.18,129.05,129.17,670.018,1577841599999,86501.20751,60,487.089,62886.14726,0
1577841600000,129.18,129.71,129.17,129.59,5132.604,1577841899999,664637.11451,505,2846.360,368577.60105,0
1577841900000,129.62,130.50,129.62,130.22,9128.950,1577842199999,1187355.22213,802,5717.623,743557.95703,0
1577842200000,130.22,130.61,130.20,130.45,4582.443,1577842499999,597575.24689,471,2690.506,350870.20229,0
1577842500000,130.40,130.40,130.12,130.20,2796.465,1577842799999,364313.90425,229,1259.756,164095.92545,0
1577842800000,130.23,130.28,130.12,130.24,1553.125,1577843099999,202212.71860,125,1039.942,135394.62493,0
1577843100000,130.24,130.24,129.78,129.96,1093.654,1577843399999,142210.34552,129,453.562,58961.38227,0
1577843400000,129.98,130.27,129.89,130.18,2185.314,1577843699999,284297.82726,196,1148.926,149490.93339,0
1577843700000,130.16,130.57,130.15,130.57,2621.150,1577843999999,341551.48706,183,1603.121,208899.93115,0
1577844000000,130.58,130.97,130.32,130.39,3675.388,1577844299999,480394.19988,416,2119.178,276992.15804,0
1577844300000,130.45,130.49,130.30,130.39,1027.357,1577844599999,133954.87887,99,415.452,54170.38985,0
1577844600000,130.41,130.47,130.38,130.41,1054.751,1577844899999,137567.96803,83,516.528,67366.99527,0
1577844900000,130.40,130.71,130.37,130.68,1607.310,1577845199999,209870.47556,160,1030.435,134550.37226,0
1577845200000,130.68,130.70,130.49,130.62,3767.177,1577845499999,492234.86460,158,347.466,45382.61144,0
1577845500000,130.65,130.88,130.63,130.72,2577.295,1577845799999,337017.67306,208,1306.642,170841.66825,0
1577845800000,130.73,130.88,130.72,130.74,2746.734,1577846099999,359315.14561,233,1403.530,183594.83713,0
1577846100000,130.72,130.73,130.61,130.61,303.750,1577846399999,39695.16037,55,78.337,10236.33807,0
1577846400000,130.65,130.69,130.55,130.67,622.857,1577846699999,81345.85883,87,500.904,65417.67530,0
1577846700000,130.66,130.74,130.60,130.70,1777.180,1577846999999,232236.75750,95,957.427,125125.02777,0
1577847000000,130.73,130.82,130.65,130.82,1358.991,1577847299999,177658.89193,121,830.472,108579.12453,0
1577847300000,130.81,130.84,130.76,130.80,1346.156,1577847599999,176085.78611,92,792.801,103704.68982,0
1577847600000,130.80,130.82,130.51,130.54,1426.724,1577847899999,186464.22603,121,192.185,25092.66163,0
1577847900000,130.55,130.55,130.02,130.13,1894.301,1577848199999,246626.16537,156,828.492,107911.13557,0
